Rbr,Ime,Prezime,Broj_indeksa,Godina_upisa,Smena,T1,T2,K1,K2,Ukupno_bodova
70,Ryan,Lee,328,2023,9,0.0,0.0,0.0,0,0.0
71,Joshua,Jones,4,2020,6,0.6,0.0,0.0,0,0.6
72,Kristian,Berg,22,2020,6,0.0,0.0,0.0,0,0.0
73,David,Lee,569,2023,6,0.0,0.0,0.0,0,0.0
74,Michael,Evans,146,2022,6,2.5,5.0,5.0,12,24.5
75,Sven,Johansen,140,2023,6,4.4,2.0,0.0,0,6.4
76,Samuel,Tremblay,212,2019,6,0.0,0.0,0.0,0,0.0
77,Aksel,Walker,575,2023,6,0.0,0.0,0.0,0,0.0
78,Nathan,Larsen,914,2019,9,0.0,0.0,0.0,0,0.0
79,Robert,Gagnon,226,2023,6,0.0,0.0,0.0,0,0.0
80,Samuel,Davies,619,2020,9,0.0,0.0,0.0,0,0.0
81,Joseph,Johnson,224,2023,6,0.0,0.0,0.0,0,0.0
82,Charlie,Garcia,506,2023,9,2.5,0.0,0.0,0,2.5
83,Luke,Martin,234,2020,6,0.0,0.0,0.0,0,0.0
84,Archie,Anderson,503,2023,6,0.0,0.0,0.0,0,0.0
85,Erik,Lefebvre,496,2020,6,0.0,0.0,0.0,0,0.0
86,Arthur,Martin,53,2020,6,0.0,0.0,0.0,0,0.0
87,Christopher,Williams,268,2017,6,0.0,0.0,0.0,0,0.0
88,Arthur,Davis,508,2021,6,0.0,0.0,0.0,0,0.0
89,Harry,Morin,484,2022,6,0.0,0.0,0.0,0,0.0
90,Benjamin,Thompson,460,2021,6,0.0,0.0,0.0,0,0.0
91,Sven,Evans,487,2021,6,0.0,0.0,0.0,0,0.0
92,Luke,Pedersen,544,2020,6,3.1,0.0,2.0,5,10.1
93,Oskar,Taylor,188,2020,6,4.4,1.0,3.0,4,12.4
94,Magnus,Thompson,562,2023,6,0.0,0.0,0.0,0,0.0
95,Lars,Morin,18,2023,6,0.0,0.0,0.0,0,0.0
96,David,Tremblay,288,2020,6,0.0,0.0,2.0,0,2.0
97,Wyatt,Garcia,305,2020,6,0.0,0.0,0.0,0,0.0
98,Erik,Roberts,384,2019,6,0.0,0.0,0.0,0,0.0
99,Christopher,Côté,508,2019,6,4.5,0.0,0.0,0,4.5
100,Mason,Taylor,329,2022,6,0.0,0.0,0.0,0,0.0
101,Anders,Martin,336,2024,9,0.0,0.0,0.0,0,0.0
102,Henry,Williams,577,2020,9,0.0,0.0,0.0,0,0.0
103,Christopher,Nilsen,235,2021,6,1.9,0.0,0.0,0,1.9
104,Archie,Thompson,905,2022,6,0.0,0.0,0.0,0,0.0
105,Charlie,Smith,556,2022,9,0.0,0.0,0.0,0,0.0
106,Luke,Roy,98,2024,10,0.0,0.0,0.0,0,0.0
107,Erik,Gagnon,140,2024,10,0.0,0.0,0.0,0,0.0
108,Oskar,Larsen,371,2022,6,3.8,1.0,11.0,0,15.8
109,Owen,Pedersen,463,2022,10,0.0,0.0,0.0,0,0.0
110,Samuel,Kristiansen,244,2020,6,0.0,0.0,0.0,0,0.0
111,Magnus,Kristiansen,146,2021,6,5.0,0.0,12.0,8,25.0
112,Oliver,Olsen,43,2022,6,0.0,0.0,0.0,0,0.0
113,Aksel,Taylor,592,2020,6,0.0,1.0,0.0,0,1.0
114,Aksel,Wilson,339,2022,6,3.5,1.5,4.0,8,17.0
115,William,Thompson,903,2023,6,2.5,0.5,0.0,0,3.0
116,Samuel,Jones,157,2023,6,1.9,0.0,6.0,0,7.9
117,Michael,Olsen,192,2024,10,0.0,0.0,0.0,0,0.0
118,Bjørn,Davies,507,2023,10,1.3,0.5,0.0,0,1.8
119,Oliver,Pelletier,579,2023,10,0.0,0.0,0.0,0,0.0
120,Freddie,Taylor,519,2019,6,0.6,0.0,0.0,0,0.6
121,Luke,Olsen,338,2023,10,0.0,0.0,0.0,0,0.0
122,David,Garcia,474,2022,6,0.0,0.0,0.0,0,0.0
123,Benjamin,Pedersen,903,2021,6,0.0,0.0,0.0,0,0.0
124,Ryan,White,599,2022,6,2.5,1.0,3.0,0,6.5
125,Kristian,Tremblay,269,2023,6,2.5,1.0,4.0,0,7.5
126,Oliver,White,525,2023,10,0.0,0.0,0.0,0,0.0
127,Benjamin,Olsen,549,2023,6,0.6,0.0,0.0,0,0.6
128,Lars,Wright,117,2023,6,0.0,0.0,0.0,0,0.0
129,Ethan,Taylor,409,2018,6,0.0,0.0,0.0,0,0.0
130,Freddie,Walker,106,2023,6,0.0,0.0,0.0,0,0.0
131,Lars,Andersen,449,2020,6,0.0,0.0,0.0,0,0.0
132,Archie,Thompson,270,2020,6,0.0,0.0,0.0,0,0.0
133,Matthew,Bouchard,70,2022,10,0.0,0.0,0.0,0,0.0
134,Jack,Rodriguez,480,2022,6,0.6,0.0,0.0,0,0.6
135,Daniel,Taylor,257,2022,6,0.0,0.0,0.0,0,0.0
136,Henry,Wright,343,2021,10,0.0,0.0,0.0,0,0.0
137,Jonas,Olsen,173,2019,6,0.0,0.0,0.0,0,0.0
138,Owen,Roberts,467,2022,6,0.0,0.0,0.0,0,0.0
139,Mason,Larsen,111,2019,6,0.0,0.0,0.0,0,0.0
140,Jack,Kristiansen,123,2023,6,3.1,0.0,0.0,0,3.1
141,Jonas,Anderson,436,2023,10,0.0,0.0,0.0,0,0.0
142,Carter,Pelletier,35,2022,6,0.0,0.0,0.0,0,0.0
143,Oscar,Côté,162,2023,6,1.3,2.0,3.0,0,6.3
144,Carter,White,484,2020,6,0.0,0.0,0.0,0,0.0
145,Freddie,Walker,463,2024,6,0.0,0.0,0.0,0,0.0
146,Arthur,Bouchard,605,2021,6,0.0,0.0,0.0,0,0.0
147,Samuel,Smith,287,2020,10,0.0,0.0,0.0,0,0.0
148,Daniel,White,194,2023,-,3.8,1.0,4.0,0,8.8
149,Noah,Thompson,435,2019,-,3.1,2.5,0.0,5,10.6
150,Ethan,Thomas,334,2022,-,5.0,0.0,3.0,0,8.0
151,Robert,Thompson,222,2022,6,1.3,0.0,9.0,6,16.3
152,Emil,Lefebvre,628,2022,6,0.0,0.0,3.0,0,3.0
153,William,Morin,431,2022,-,1.9,2.5,0.0,0,4.4
154,Thomas,Johansen,194,2023,6,1.9,0.0,0.0,0,1.9
155,Matthew,Taylor,539,2022,-,5.6,1.0,0.0,0,6.6
156,Erik,Baker,262,2023,10,0.0,0.0,0.0,0,0.0
157,Christopher,Cooper,479,2023,-,0.0,1.0,0.0,7,8.0
158,Leif,Cooper,527,2022,6,3.8,2.0,0.0,0,5.8
159,Magnus,Larsen,92,2021,-,0.0,0.0,0.0,0,0.0
160,Oscar,Thomas,257,2019,-,0.0,0.0,0.0,0,0.0
161,Wyatt,Tremblay,231,2020,-,0.0,0.0,0.0,0,0.0
162,David,MacDonald,176,2023,-,6.9,3.5,12.0,18,40.4
163,Charlie,Kristiansen,30,2023,-,0.6,2.5,0.0,0,3.1
164,Charlie,Martinez,453,2022,-,4.4,1.0,6.0,0,11.4
165,Wyatt,Olsen,268,2023,-,2.5,0.0,0.0,0,2.5
166,Archie,Miller,99,2020,6,0.0,0.0,0.0,0,0.0
167,Logan,Thompson,357,2020,6,0.0,0.0,0.0,0,0.0
168,Jack,Tremblay,287,2023,-,8.8,6.5,17.0,20,52.3
169,Owen,Olsen,590,2023,-,2.0,3.0,12.0,16,33.0
170,James,Hansen,126,2022,10,0.0,0.0,0.0,0,0.0
171,Magnus,Pelletier,78,2023,-,6.3,7.5,3.0,0,16.8
172,Anders,Davies,510,2020,6,0.0,0.0,0.0,0,0.0
173,Thomas,Miller,546,2023,-,8.8,8.5,11.5,14,42.8
174,Magnus,Solberg,310,2022,-,0.0,0.0,0.0,0,0.0
175,Mason,Jackson,465,2022,-,4.5,3.5,8.0,11,27.0
176,Emil,Larsen,424,2023,-,0.0,0.0,0.0,0,0.0
177,Luke,White,10,2022,-,5.6,1.0,5.0,10,21.6
178,Aksel,Moore,224,2022,-,0.0,0.0,0.0,0,0.0
179,Lars,Taylor,594,2021,-,0.0,0.0,0.0,0,0.0
180,George,Wilson,244,2023,-,3.8,8.5,18.0,20,50.3
181,Thomas,Johnson,491,2023,-,7.5,3.0,3.0,0,13.5
182,Nathan,Williams,388,2023,-,8.1,10.0,20.0,20,58.1
183,Oscar,Jackson,258,2018,-,0.0,1.5,0.0,7,8.5
184,Christopher,MacDonald,397,2021,-,0.0,0.0,0.0,0,0.0
185,Archie,Pelletier,905,2020,-,0.0,0.0,0.0,0,0.0
186,James,Berg,505,2024,10,3.8,4.5,15.5,20,43.8
187,Anders,Jones,82,2023,-,0.6,0.0,0.0,0,0.6
188,Anders,Baker,40,2023,-,3.8,0.5,6.0,2,12.3
189,Jack,Wright,201,2019,-,0.0,0.0,0.0,0,0.0
190,Noah,Hansen,531,2023,5,0.6,0.0,0.0,0,0.6
191,Emil,Côté,470,2018,-,0.0,0.0,0.0,0,0.0
192,Andrew,Taylor,129,2024,5,2.5,0.0,0.0,0,2.5
193,Noah,Nilsen,606,2023,5,0.6,0.0,3.0,0,3.6
194,Joseph,Andersen,526,2020,-,5.0,0.0,3.0,0,8.0
195,Erik,Roberts,556,2024,5,3.8,2.0,0.0,0,5.8
196,Caleb,Campbell,322,2023,-,2.5,4.5,3.0,7,17.0
197,Erik,Walker,155,2023,5,0.0,0.5,0.0,0,0.5
198,Noah,Jackson,338,2023,-,0.0,0.0,0.0,0,0.0
199,Wyatt,Wilson,279,2022,10,0.0,0.0,0.0,0,0.0
200,Joshua,Johansen,446,2021,-,0.0,0.0,0.0,0,0.0
201,Matthew,Andersen,72,2023,-,0.0,0.0,0.0,0,0.0
202,Arthur,Smith,209,2024,5,3.1,0.0,0.0,0,3.1
203,Emil,Solberg,80,2022,-,8.1,4.0,11.0,8,31.1
204,Christopher,Berg,105,2021,-,0.0,0.0,0.0,0,0.0
205,Mason,Davis,114,2020,-,2.5,1.0,4.0,0,7.5
206,Aksel,Berg,594,2021,-,0.0,0.0,0.0,0,0.0
207,Logan,Thompson,558,2019,-,0.0,0.0,0.0,0,0.0
208,James,Moore,387,2023,-,0.6,0.5,0.0,0,1.1
209,Wyatt,Anderson,242,2024,5,0.6,0.0,0.0,0,0.6
210,Oliver,Andersen,16,2020,-,3.8,4.5,3.0,0,11.3
211,Ethan,Roy,487,2023,5,0.0,0.0,0.0,0,0.0
212,John,Baker,109,2023,-,3.1,0.0,0.0,0,3.1
213,Thomas,Brown,907,2022,-,0.0,0.0,0.0,0,0.0
214,Arthur,Bouchard,400,2019,-,0.0,0.0,3.0,0,3.0
215,Bjørn,Jackson,292,2024,-,0.0,0.0,0.0,0,0.0
216,Caleb,Garcia,550,2022,6,0.0,0.0,0.0,0,0.0
217,Henry,Baker,300,2022,10,1.3,0.0,1.0,0,2.3
218,William,Rodriguez,537,2022,-,0.0,0.0,0.0,0,0.0
219,Henry,Baker,9,2023,-,5.0,4.5,8.0,20,37.5
220,Ryan,Olsen,422,2023,-,3.1,2.0,0.0,0,5.1
221,Robert,Roy,354,2024,5,6.3,2.5,0.0,0,8.8
222,Robert,Bouchard,494,2022,-,0.0,0.0,0.0,0,0.0
223,Anders,Morin,492,2024,5,5.6,7.5,19.0,14,46.1
224,Ethan,Taylor,215,2022,-,3.1,1.5,2.0,0,6.6
225,David,Solberg,166,2024,5,3.8,2.0,3.0,0,8.8
226,Emil,Cooper,344,2024,5,0.0,0.0,0.0,0,0.0
227,Mason,Pelletier,151,2024,5,7.5,7.0,17.5,18,50.0
228,Aksel,Pedersen,189,2024,5,0.0,0.0,0.0,0,0.0
229,Daniel,Tremblay,272,2024,5,3.1,6.5,7.0,0,16.6
230,Daniel,Thompson,139,2022,6,0.0,0.0,0.0,0,0.0
231,Sven,Bouchard,954,2023,-,0.0,1.0,0.0,0,1.0
232,Liam,Cooper,592,2024,5,6.3,7.0,10.0,20,43.3
233,Owen,Martinez,369,2019,6,1.9,0.0,1.0,0,2.9
234,Christopher,Kristiansen,117,2018,-,0.6,0.0,2.0,0,2.6
235,Jack,MacDonald,15,2023,-,0.6,0.0,0.0,0,0.6
236,Logan,Cooper,597,2023,-,4.4,0.0,0.0,0,4.4
237,Wyatt,Martin,230,2023,-,1.9,0.0,0.0,0,1.9
238,Oscar,Solberg,570,2023,6,0.0,0.0,0.0,0,0.0
239,Benjamin,Jackson,7,2017,-,0.0,0.0,0.0,0,0.0
240,Mason,Hansen,421,2018,5,0.0,0.0,0.0,0,0.0
241,Emil,Lee,508,2024,5,5.0,9.0,15.0,15,44.0
242,Anders,Berg,303,2023,5,0.0,0.0,0.0,0,0.0
243,Oskar,Berg,337,2022,6,0.0,0.0,0.0,0,0.0
244,Joshua,Roy,373,2019,-,0.0,0.0,0.0,0,0.0
245,Kristian,Campbell,499,2024,5,6.0,3.5,11.0,0,20.5
246,Caleb,Hansen,600,2023,5,0.0,0.0,0.0,0,0.0
247,Freddie,Jackson,61,2020,-,0.0,0.0,0.0,0,0.0
248,Sven,Lee,160,2020,-,0.0,0.0,0.0,0,0.0
249,Lars,Cooper,346,2021,-,0.0,0.0,0.0,0,0.0
250,Arthur,Jones,562,2024,5,1.9,0.0,4.0,0,5.9
251,Edward,Nilsen,910,2017,6,0.0,0.0,0.0,0,0.0
252,Logan,Thompson,587,2024,5,0.0,0.0,0.0,0,0.0
253,Edward,Jackson,593,2019,-,0.0,0.0,0.0,0,0.0
254,Thomas,Lee,196,2021,-,1.3,0.0,7.0,6,14.3
255,Henry,Davies,604,2023,-,6.9,5.0,16.5,20,48.4
256,Samuel,Taylor,506,2024,5,7.5,5.5,13.5,19,45.5
257,David,Gagnon,555,2023,6,0.0,0.0,0.0,0,0.0
258,George,Miller,160,2021,-,0.0,0.0,0.0,0,0.0
259,John,Rodriguez,94,2019,-,1.9,0.5,4.0,0,6.4
260,Carter,Wilson,292,2024,5,0.0,0.0,0.0,0,0.0
261,Owen,Moore,136,2023,-,6.3,4.5,15.5,12,38.3
262,Samuel,Roberts,89,2022,-,0.6,0.0,2.0,2,4.6
263,Carter,Andersen,455,2024,5,3.1,0.0,3.0,2,8.1
264,Samuel,Wilson,1,2023,-,0.0,0.0,0.0,0,0.0
265,James,Nilsen,420,2023,-,2.5,1.5,2.0,0,6.0
266,David,Thomas,408,2023,5,0.0,0.0,0.0,0,0.0
267,Kristian,Jones,913,2020,6,3.1,0.0,0.0,0,3.1
268,Erik,Wright,468,2022,-,1.9,1.0,0.0,0,2.9
269,William,Wright,499,2023,-,4.0,3.0,15.0,0,22.0
270,Samuel,Davies,289,2022,6,0.0,0.0,0.0,0,0.0
271,David,Gagnon,123,2024,5,0.0,1.0,9.5,10,20.5
272,Michael,Baker,378,2023,-,4.4,0.0,0.0,0,4.4
273,George,Wright,80,2025,-,0.0,0.0,0.0,0,0.0
274,David,Brown,546,2023,-,0.0,0.0,0.0,0,0.0
275,Noah,Thomas,414,2024,5,0.6,0.0,2.0,0,2.6
276,Henry,Wright,528,2023,-,0.0,0.0,0.0,0,0.0
277,Luke,Roberts,371,2024,5,7.5,6.5,12.0,20,46.0
278,Sven,Berg,475,2019,-,0.0,0.0,0.0,0,0.0
279,Ethan,Lefebvre,239,2023,5,0.0,0.0,0.0,0,0.0
280,Benjamin,Andersen,356,2024,5,0.0,0.0,0.0,0,0.0
281,Mason,Johnson,327,2023,-,0.0,0.0,0.0,0,0.0
282,Daniel,Solberg,113,2024,5,6.3,9.0,14.5,20,49.8
283,Anders,Côté,325,2017,-,0.0,0.0,0.0,0,0.0
284,Ryan,Roberts,492,2020,-,0.0,0.0,0.0,0,0.0
285,Ryan,MacDonald,338,2022,-,5.5,4.5,13.0,6,29.0
286,Liam,Smith,203,2024,5,0.0,0.0,3.0,0,3.0
287,Henry,Evans,607,2023,5,0.0,0.0,0.0,0,0.0
288,Leif,White,106,2024,5,5.6,2.5,8.5,3,19.6
289,Liam,Solberg,270,2023,5,2.5,0.0,7.0,0,9.5
290,Bjørn,Roberts,297,2022,-,3.1,1.5,0.0,0,4.6
291,Alfie,Wright,589,2020,6,0.0,0.0,0.0,0,0.0
292,Joshua,Gagnon,509,2023,-,0.0,0.0,0.0,0,0.0
293,Joseph,Kristiansen,32,2023,-,0.0,0.0,0.0,0,0.0
294,Joseph,Kristiansen,284,2023,6,1.9,0.5,8.0,0,10.4
295,Sven,Gagnon,272,2019,6,0.0,0.0,0.0,0,0.0
296,Oscar,Morin,102,2021,10,0.0,0.0,0.0,0,0.0
297,Harry,Moore,56,2020,-,0.0,0.0,0.0,0,0.0
298,Oscar,Campbell,539,2023,-,3.8,0.5,0.0,0,4.3
299,Alfie,Moore,386,2023,-,0.0,0.0,0.0,0,0.0
300,Archie,Lee,127,2022,-,6.3,5.0,9.0,10,30.3
301,Anders,Thompson,493,2024,5,5.0,4.0,2.0,0,11.0
302,William,Campbell,39,2023,-,4.4,0.0,0.0,0,4.4
303,Magnus,Johnson,490,2024,5,0.0,0.0,0.0,0,0.0
304,Lars,Roberts,434,2021,-,0.0,0.0,0.0,0,0.0
305,Lars,Davies,74,2024,5,0.0,0.0,0.0,0,0.0
306,Joseph,Olsen,195,2023,-,5.0,4.0,7.0,0,16.0
307,William,Larsen,556,2021,-,2.5,0.0,2.0,0,4.5
308,Freddie,Walker,522,2023,-,0.0,0.0,0.0,0,0.0
309,Anders,Pedersen,30,2023,-,0.0,0.0,0.0,0,0.0
310,George,Martinez,307,2024,5,0.0,0.0,0.0,0,0.0
311,Bjørn,Baker,431,2023,-,3.1,4.0,3.0,0,10.1
312,Joseph,Rodriguez,503,2023,6,0.0,0.0,0.0,0,0.0
313,Henry,Pelletier,26,2017,-,0.0,0.0,0.0,0,0.0
314,Joshua,Gagnon,491,2024,5,0.0,0.0,0.0,0,0.0
315,Joshua,Johnson,185,2023,-,0.0,0.0,0.0,0,0.0
316,Mason,Walker,150,2021,-,5.0,1.5,10.0,6,22.5
317,Edward,Lefebvre,85,2023,6,0.0,0.0,0.0,0,0.0
318,Daniel,Côté,574,2024,5,0.0,0.0,0.0,0,0.0
319,Oscar,Olsen,496,2022,-,0.0,0.0,0.0,0,0.0
320,Andrew,Johnson,221,2023,-,6.3,5.0,15.5,20,46.8
321,Luke,Miller,248,2024,5,0.0,0.0,0.0,0,0.0
322,Archie,Johansen,121,2024,5,5.0,6.5,14.0,20,45.5
323,Henry,Thompson,25,2023,-,0.0,0.0,0.0,0,0.0
324,David,Rodriguez,355,2019,6,0.0,0.0,0.0,0,0.0
325,Edward,Baker,450,2023,5,1.3,0.0,0.0,0,1.3
326,Bjørn,Anderson,82,2022,-,3.0,4.0,2.0,0,9.0
327,Owen,Brown,575,2023,-,3.1,0.0,2.0,0,5.1
328,Joseph,Martin,349,2023,-,3.1,0.0,0.0,0,3.1
329,William,Roberts,560,2024,5,1.3,0.0,0.0,0,1.3
330,Lars,Taylor,403,2023,-,0.0,0.0,0.0,0,0.0
331,Mason,Thomas,305,2024,5,8.1,6.0,12.0,20,46.1
332,James,Baker,361,2023,-,6.0,6.0,9.0,0,21.0
333,Robert,Taylor,415,2023,-,4.4,0.0,0.0,0,4.4
334,Emil,Davies,87,2021,-,0.6,1.5,1.0,3,6.1
335,Henry,Solberg,380,2022,6,1.3,0.0,0.0,0,1.3
336,Christopher,Roberts,461,2023,-,4.5,3.5,6.0,0,14.0
337,Alfie,Lee,534,2023,-,0.0,0.0,0.0,0,0.0
338,Ethan,Solberg,610,2023,6,3.0,1.0,0.0,0,4.0
339,Liam,Wright,213,2023,5,0.0,0.0,0.0,0,0.0
340,Benjamin,Martin,248,2019,-,1.3,0.0,0.0,0,1.3
341,Freddie,Miller,65,2022,6,1.9,0.0,0.0,0,1.9
342,William,MacDonald,46,2024,5,7.0,2.5,9.0,0,18.5
343,Christopher,Johnson,530,2024,5,3.1,2.5,6.0,0,11.6
344,Charlie,Kristiansen,133,2016,-,0.0,3.5,10.0,0,13.5
345,James,Gagnon,901,2024,5,0.0,0.0,0.0,0,0.0
346,Charlie,Brown,512,2024,5,3.1,0.0,0.0,0,3.1
347,Jack,Evans,15,2023,5,3.1,1.5,2.0,0,6.6
348,Leif,Moore,102,2021,6,8.8,6.0,7.0,20,41.8
349,Leif,Johansen,132,2024,5,4.4,6.5,0.0,0,10.9
350,Archie,Jones,550,2017,6,0.0,0.0,0.0,0,0.0
351,Nathan,Berg,323,2023,-,1.3,0.0,0.0,0,1.3
352,Oscar,Johansen,389,2020,-,0.0,0.0,0.0,0,0.0
353,Oskar,Williams,318,2024,5,6.3,3.5,2.0,0,11.8
354,Anders,Solberg,365,2020,6,0.0,0.0,0.0,0,0.0
355,Leif,Johnson,570,2022,-,6.0,5.0,9.0,10,30.0
356,Owen,Jackson,455,2023,-,8.8,10.0,16.5,20,55.3
357,Sven,Taylor,150,2024,5,5.6,5.0,7.5,0,18.1
358,Kristian,Johnson,371,2023,-,4.4,0.0,3.0,0,7.4
359,Ethan,Pelletier,326,2022,-,5.6,4.0,6.0,3,18.6
360,Matthew,Wilson,136,2023,-,3.1,0.0,0.0,0,3.1
361,Joshua,Jackson,563,2024,5,0.0,0.0,0.0,0,0.0
362,Nathan,Rodriguez,423,2024,5,1.3,0.0,0.0,0,1.3
363,Benjamin,MacDonald,423,2017,-,0.0,0.0,0.0,0,0.0
364,William,Olsen,83,2021,-,0.0,0.0,0.0,0,0.0
365,Carter,Garcia,611,2018,-,3.0,0.0,0.0,0,3.0
366,Jonas,Côté,222,2020,-,0.0,0.0,0.0,0,0.0
367,Mason,Thomas,611,2024,5,6.9,7.0,11.0,20,44.9
368,William,Baker,413,2022,-,1.9,0.0,0.0,0,1.9
369,Jonas,Andersen,92,2017,-,0.0,0.0,0.0,0,0.0
370,Oliver,Martin,119,2023,6,3.1,3.0,4.0,0,10.1
371,William,Berg,120,2024,5,0.0,0.0,3.5,0,3.5
372,William,Wilson,316,2023,-,3.2,0.0,0.0,0,3.2
373,Carter,Martinez,159,2021,6,0.0,0.0,0.0,0,0.0
374,Liam,Morin,346,2023,5,0.0,0.0,0.0,0,0.0
375,Noah,Morin,385,2023,5,1.9,0.0,0.0,0,1.9
376,Logan,Kristiansen,425,2022,6,0.0,0.0,0.0,0,0.0
377,Christopher,Nilsen,504,2023,10,0.0,0.0,0.0,0,0.0
378,William,Garcia,107,2024,5,5.0,2.0,6.0,0,13.0
379,Noah,Berg,68,2024,5,1.3,0.0,0.0,0,1.3
380,Robert,Martinez,407,2024,5,4.4,5.5,7.0,10,26.9
381,Andrew,White,573,2017,-,3.8,0.0,12.0,2,17.8
382,David,Davis,200,2024,5,0.0,0.0,0.0,0,0.0
383,Wyatt,Lefebvre,438,2024,5,1.3,0.0,0.0,0,1.3
